Volatility 3 Framework 2.28.1

PID	Process	Args

4	System	-
392	smss.exe	\SystemRoot\System32\smss.exe
540	smss.exe	-
552	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
636	smss.exe	-
644	wininit.exe	wininit.exe
652	csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
740	winlogon.exe	winlogon.exe
776	services.exe	C:\WINDOWS\system32\services.exe
788	lsass.exe	C:\WINDOWS\system32\lsass.exe
876	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p
892	fontdrvhost.ex	"fontdrvhost.exe"
900	fontdrvhost.ex	"fontdrvhost.exe"
1004	svchost.exe	C:\WINDOWS\system32\svchost.exe -k RPCSS -p
448	LogonUI.exe	"LogonUI.exe" /flags:0x0 /state0:0xa3bf2055 /state1:0x41c64e6d
504	dwm.exe	"dwm.exe"
544	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p
848	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService
996	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p
1048	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService
1056	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
1064	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p
1124	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p
1212	svchost.exe	-
1456	svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs
1688	svchost.exe	C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p
436	vmacthlp.exe	"C:\Program Files\VMware\VMware Tools\vmacthlp.exe"
1724	MemCompression	-
2044	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2072	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p
2092	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p
2204	spoolsv.exe	C:\WINDOWS\System32\spoolsv.exe
2332	svchost.exe	C:\WINDOWS\System32\svchost.exe -k utcsvc -p
2340	armsvc.exe	"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
2348	FireSvc.exe	"C:\Program Files\McAfee\Host Intrusion Prevention\FireSvc.exe"
2376	HipMgmt.exe	"C:\Program Files (x86)\McAfee\Host Intrusion Prevention\HipMgmt.exe"
2392	macmnsvc.exe	"C:\Program Files\McAfee\Agent\macmnsvc.exe" /ServiceStart
2408	masvc.exe	"C:\Program Files\McAfee\Agent\masvc.exe" /ServiceStart
2436	mfemms.exe	"C:\Program Files\Common Files\McAfee\SystemCore\mfemms.exe"
2444	VsTskMgr.exe	"C:\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe"
2580	SecurityHealth	C:\WINDOWS\system32\SecurityHealthService.exe
2604	Sysmon64.exe	C:\WINDOWS\Sysmon64.exe
2616	Velociraptor.e	"C:\Program Files\Velociraptor\Velociraptor.exe" service run 
2648	VGAuthService.	"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"
2656	vmtoolsd.exe	"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"
2684	ManagementAgen	"C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe"
2952	mfevtps.exe	"C:\WINDOWS\system32\mfevtps.exe"
2068	mfeann.exe	"C:\Program Files (x86)\McAfee\VirusScan Enterprise\mfeann.exe"
2636	conhost.exe	\??\C:\WINDOWS\system32\conhost.exe 0x4
3184	unsecapp.exe	C:\WINDOWS\system32\wbem\unsecapp.exe -Embedding
3456	WmiPrvSE.exe	C:\WINDOWS\system32\wbem\wmiprvse.exe
3764	mfevtps.exe	"C:\WINDOWS\system32\mfevtps.exe" -mms
3224	mfefire.exe	"C:\Program Files\Common Files\McAfee\SystemCore\mfefire.exe" -mms
2964	mfehcs.exe	"C:\Program Files\Common Files\McAfee\SystemCore\mfehcs.exe" -mms
4104	FireTray.exe	-
4152	mcshield.exe	"C:\Program Files\Common Files\McAfee\SystemCore\mcshield.exe"
4160	macompatsvc.ex	"C:\Program Files\McAfee\Agent\x86\macompatsvc.exe"
4384	mfemactl.exe	"C:\Program Files\McAfee\Agent\x86\\mfemactl.exe" --log "C:\ProgramData\McAfee\Agent\logs" --ppid 2408 --interface 4D454F57010000000000000000000000C00000000000004600000000050000004691D4BCAB9A2A0B96B668BFDF40754C0248000068090C1184AAE3F9D64F5A6800000000 
4648	dllhost.exe	C:\WINDOWS\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
4888	msdtc.exe	C:\WINDOWS\System32\msdtc.exe
4912	svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p
5268	svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p
22160	OfficeClickToR	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service
22388	AppVShNotify.e	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"
13216	SearchIndexer.	C:\WINDOWS\system32\SearchIndexer.exe /Embedding
33780	svchost.exe	-
34964	svchost.exe	-
28252	svchost.exe	-
37736	svchost.exe	-
36200	svchost.exe	-
40360	svchost.exe	-
52092	svchost.exe	-
52996	svchost.exe	-
55044	svchost.exe	-
57136	svchost.exe	-
54616	svchost.exe	-
59436	svchost.exe	-
62248	svchost.exe	-
63580	svchost.exe	-
63204	svchost.exe	-
66728	svchost.exe	-
66472	svchost.exe	-
69388	svchost.exe	-
72152	svchost.exe	-
69928	svchost.exe	-
73440	svchost.exe	-
75496	svchost.exe	-
78212	svchost.exe	-
78828	svchost.exe	-
79692	svchost.exe	-
81424	svchost.exe	-
83792	svchost.exe	-
84932	svchost.exe	-
84256	svchost.exe	-
83600	svchost.exe	-
88908	svchost.exe	-
89648	svchost.exe	-
90732	svchost.exe	-
87496	svchost.exe	-
93596	svchost.exe	-
96724	svchost.exe	-
99236	svchost.exe	-
99696	svchost.exe	-
102168	svchost.exe	-
102876	svchost.exe	-
104812	svchost.exe	-
105616	svchost.exe	-
109452	svchost.exe	-
109576	svchost.exe	-
112420	svchost.exe	-
114208	svchost.exe	-
114980	svchost.exe	-
114788	svchost.exe	-
116876	svchost.exe	-
117792	svchost.exe	-
120204	svchost.exe	-
121396	svchost.exe	-
145604	svchost.exe	-
160132	svchost.exe	-
158764	svchost.exe	-
162664	svchost.exe	-
164784	svchost.exe	-
171200	svchost.exe	-
172336	svchost.exe	-
174300	svchost.exe	-
173504	svchost.exe	-
177624	svchost.exe	-
179360	svchost.exe	-
182232	svchost.exe	-
184964	svchost.exe	-
185832	svchost.exe	-
188004	svchost.exe	-
188540	svchost.exe	-
190516	svchost.exe	-
192748	svchost.exe	-
194064	svchost.exe	-
194228	svchost.exe	-
196856	svchost.exe	-
199244	svchost.exe	-
201008	svchost.exe	-
202316	svchost.exe	-
202504	svchost.exe	-
205376	svchost.exe	-
207848	svchost.exe	-
208576	svchost.exe	-
210388	svchost.exe	-
212680	svchost.exe	-
215028	svchost.exe	-
214400	svchost.exe	-
210004	svchost.exe	-
214792	svchost.exe	-
214556	svchost.exe	-
214536	svchost.exe	-
210028	svchost.exe	-
214892	svchost.exe	-
213816	svchost.exe	-
213648	svchost.exe	-
214568	svchost.exe	-
208920	svchost.exe	-
214380	svchost.exe	-
214488	svchost.exe	-
215296	svchost.exe	C:\WINDOWS\System32\svchost.exe -k NetworkService -p
214656	subject_srv.ex	C:\windows\subject_srv.exe -s "172.16.5.25:5682" -l 3262 -v "F-Response Subject" -k "155522845"
