Volatility 3 Framework 2.28.1

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0x990eee695040	189	-	N/A	False	2026-05-13 19:14:13.000000 UTC	N/A	-	-	-
* 136	4	Registry	0x990eee740080	4	-	N/A	False	2026-05-13 19:14:00.000000 UTC	N/A	Registry	-	-
* 2104	4	MemCompression	0x990eee74a040	42	-	N/A	False	2026-05-13 19:14:48.000000 UTC	N/A	MemCompression	-	-
* 468	4	smss.exe	0x990ef29c9040	2	-	N/A	False	2026-05-13 19:14:13.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
680	632	csrss.exe	0x990ef2853140	11	-	0	False	2026-05-13 19:14:34.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\WINDOWS\system32\csrss.exe
752	632	wininit.exe	0x990ef48cf140	2	-	0	False	2026-05-13 19:14:35.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\wininit.exe	wininit.exe	C:\WINDOWS\system32\wininit.exe
* 896	752	services.exe	0x990ef4985080	11	-	0	False	2026-05-13 19:14:38.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
** 516	896	svchost.exe	0x990ef4cd8080	14	-	0	False	2026-05-13 19:14:41.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p	C:\WINDOWS\system32\svchost.exe
*** 8004	516	WmiPrvSE.exe	0x990ef260b080	4	-	0	False	2026-05-13 19:17:24.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\wbem\WmiPrvSE.exe	C:\WINDOWS\system32\wbem\wmiprvse.exe	C:\WINDOWS\system32\wbem\wmiprvse.exe
*** 3396	516	backgroundTask	0x990ef77b90c0	31	-	1	False	2026-05-13 19:17:51.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\backgroundTaskHost.exe	"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca	C:\WINDOWS\system32\backgroundTaskHost.exe
*** 7044	516	RuntimeBroker.	0x990efacf0180	6	-	1	False	2026-05-13 19:21:43.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\RuntimeBroker.exe	C:\Windows\System32\RuntimeBroker.exe -Embedding	C:\Windows\System32\RuntimeBroker.exe
*** 3304	516	WidgetService.	0x990ef8009080	7	-	1	False	2026-05-13 19:20:51.000000 UTC	N/A	\Device\HarddiskVolume4\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe	"C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe" -RegisterProcessAsComServer -Embedding	C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe
*** 1560	516	WmiPrvSE.exe	0x990ef029c080	10	-	0	False	2026-05-13 19:26:15.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\System32\wbem\WmiPrvSE.exe	C:\WINDOWS\system32\wbem\wmiprvse.exe	C:\WINDOWS\system32\wbem\wmiprvse.exe
*** 5452	516	SearchHost.exe	0x990ef7d8f080	14	-	1	False	2026-05-13 19:15:48.000000 UTC	N/A	\Device\HarddiskVolume4\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca	C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe
**** 2736	5452	msedgewebview2	0x990ef76df080	50	-	1	False	2026-05-13 19:15:55.000000 UTC	N/A	\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2126.2002.40.0 --user-data-dir="C:\Users\kali\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.8037) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 148.0.3967.54)" --lang=en-US --mojo-named-platform-channel-pipe=5452.4512.18236964100010556028 /pfhostedapp:52cc498a3431cecdc51630cad9a624337951c2c4	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe
***** 5408	2736	msedgewebview2	0x990ef76d80c0	20	-	1	False	2026-05-13 19:15:58.000000 UTC	N/A	\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-agent="Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.8037) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 148.0.3967.54)" --user-data-dir="C:\Users\kali\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView" --webview-exe-name=SearchHost.exe --webview-exe-version=2126.2002.40.0 --embedded-browser-webview=1 --always-read-main-dll --metrics-shmem-handle=2000,i,2796503607954006550,7881468431849739085,524288 --field-trial-handle=1912,i,15016839961483282244,3200972703935356644,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --pseudonymization-salt-handle=1960,i,16517456362682977935,3646890307924161426,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2188 /prefetch:11 /pfhostedapp:52cc498a3431cecdc51630cad9a624337951c2c4	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe
***** 1316	2736	msedgewebview2	0x990ef76da080	10	-	1	False	2026-05-13 19:15:57.000000 UTC	N/A	\Device\HarddiskVolume4\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe" --type=crashpad-handler --user-data-dir=C:\Users\kali\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:52cc498a3431cecdc51630cad9a624337951c2c4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\kali\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=148.0.7778.97 "--annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe" --annotation=plat=Win64 "--annotation=prod=Edge WebView2" --annotation=ver=148.0.3967.54 --initial-client-data=0x16c,0x170,0x174,0x148,0x1ac,0x7fffe2eb8d58,0x7fffe2eb8d64,0x7fffe2eb8d70	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.54\msedgewebview2.exe
